abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
amphora,amphoras,amphora's,amphoras'
ampulla,ampullae,ampulla's,ampullae's
amygdala,amygdalae,amygdala's,amygdalae's
anabaena,anabaenas,anabaena's,anabaenas'
anabasis,anabases,anabasis's|anabasis',anabases'
anacoluthon,anacolutha,anacoluthon's,anacolutha's
anacrusis,anacruses,anacrusis's|anacrusis',anacruses'
anaerobe,anaerobes,anaerobe's,anaerobes'
anaerobium,anaerobia,anaerobium's,anaerobia's
anagnorisis,anagnorises,anagnorisis's|anagnorisis',anagnorises'
analemma,analemmas,analemma's,analemmas'
analemma,analemmata,analemma's,analemmata's
analogy,analogies,analogy's,analogies'
analysis,analyses,analysis's|analysis',analyses'
anamnesis,anamneses,anamnesis's|anamnesis',anamneses'
anamorphosis,anamorphoses,anamorphosis's|anamorphosis',anamorphoses'
anaptyxis,anatyxes,anaptyxis's|anaptyxis',anatyxes'
anastomosis,anastomoses,anastomosis's|anastomosis',anastomoses'
anathema,anathemas,anathema's,anathemas'
anatomy,anatomies,anatomy's,anatomies'
anatto,anattos,anatto's,anattos'
anatto,annattos,anatto's,annattos'
anchovy,anchovies,anchovy's,anchovies'
ancon,ancones,ancon's,ancones'
ancone,ancones,ancone's,ancones'
andantino,andantinos,andantino's,andantinos'
androclinium,androclinia,androclinium's,androclinia's
androecium,androecia,androecium's,androecia's
androsphinx,androsphinges,androsphinx's,androsphinges'
androsphinx,androsphinxes,androsphinx's,androsphinxes'
angeleno,angelenos,angeleno's,angelenos'
angelfish,angelfishes,angelfish's,angelfishes'
angioma,angiomas,angioma's,angiomas'
angioma,angiomata,angioma's,angiomata's
angwantibo,angwantibos,angwantibo's,angwantibos'
ani,anis,ani's,anis'
animalcule,animalcules,animalcule's,animalcules'
animalculum,animalcula,animalculum's,animalcula's
ankus,ankuses,ankus's|ankus',ankuses'
anlage,anlagen,anlage's,anlagen's
anlage,anlages,anlage's,anlages'
annatto,annattos,annatto's,annattos'
annulus,annuli,annulus's|annulus',annuli's
annulus,annuluses,annulus's|annulus',annuluses'
anomaly,anomalies,anomaly's,anomalies'
anta,antae,anta's,antae's
antalkali,antalkalies,antalkali's,antalkalies'
antalkali,antalkalis,antalkali's,antalkalis'
antefix,antefixa,antefix's,antefixa's
antefix,antefixes,antefix's,antefixes'
antelope,antelopes,antelope's,antelopes'
antenna,antennae,antenna's,antennae's
antependium,antependia,antependium's,antependia's
anthelion,anthelia,anthelion's,anthelia's
anthelix,anthelices,anthelix's,anthelices'
anthemion,anthemia,anthemion's,anthemia's
antheridium,antheridiia,antheridium's,antheridiia's
anthodium,anthodia,anthodium's,anthodia's
anthology,anthologies,anthology's,anthologies'
anthrax,anthraces,anthrax's,anthraces'
antibody,antibodies,antibody's,antibodies'
anticlinorium,anticlinonoria,anticlinorium's,anticlinonoria's
antihelix,antihelices,antihelix's,antihelices'
antihelix,antihelixes,antihelix's,antihelixes'
antilogy,antilogies,antilogy's,antilogies'
antineutrino,antineutrinos,antineutrino's,antineutrinos'
antinomy,antinomies,antinomy's,antinomies'
antipasto,antipastos,antipasto's,antipastos'
antipathy,antipathies,antipathy's,antipathies'
antiphony,antiphonies,antiphony's,antiphonies'
antiserum,antisera,antiserum's,antisera's
antiserum,antiserums,antiserum's,antiserums'
antithesis,antitheses,antithesis's|antithesis',antitheses'
antitragus,antitragi,antitragus's|antitragus',antitragi's
antrum,antra,antrum's,antra's
anus,anus,anus's|anus',anus'
anybody,anybodies,anybody's,anybodies'
aorta,aortae,aorta's,aortae's
aorta,aortas,aorta's,aortas'
apache,apaches,apache's,apaches'
aparejo,aparejos,aparejo's,aparejos'
apeman,apemen,apeman's,apemen's
apex,apexes,apex's,apexes'
apex,apices,apex's,apices'
aphelion,aphelia,aphelion's,aphelia's
aphis,aphides,aphis's|aphis',aphides'
apodosis,apodoses,apodosis's|apodosis',apodoses'
apollo,apollos,apollo's,apollos'
apology,apologies,apology's,apologies'
apomixis,apomixes,apomixis's|apomixis',apomixes'
aponeurosis,aponeuroses,aponeurosis's|aponeurosis',aponeuroses'
apophysis,apophyses,apophysis's|apophysis',apophyses'
aposiopesis,aposiopeses,aposiopesis's|aposiopesis',aposiopeses'
apostasy,apostasies,apostasy's,apostasies'
apothecium,apothecia,apothecium's,apothecia's
apotheosis,apotheoses,apotheosis's|apotheosis',apotheoses'
apparatus,apparatus,apparatus's|apparatus',apparatus'
apparatus,apparatuses,apparatus's|apparatus',apparatuses'
appendectomy,appendictomies,appendectomy's,appendictomies'
appendicectomy,appendictomies,appendicectomy's,appendictomies'
appendix,appendices,appendix's,appendices'
appendix,appendixes,appendix's,appendixes'
appetence,appetences,appetence's,appetences'
appetency,appetencies,appetency's,appetencies'
appoggiatura,appoggiaturas,appoggiatura's,appoggiaturas'
appoggiatura,appoggiature,appoggiatura's,appoggiature's
apsis,apsides,apsis's|apsis',apsides'
aqua,aquae,aqua's,aquae's
aqua,aquas,aqua's,aquas'
aquarium,aquaria,aquarium's,aquaria's
aquarium,aquariums,aquarium's,aquariums'
arapaho,arapahos,arapaho's,arapahos'
arboretum,arboreta,arboretum's,arboreta's
arboretum,arboretums,arboretum's,arboretums'
arbutus,arbutuses,arbutus's|arbutus',arbutuses'
arc-boutant,arcs-boutants,arc-boutant's,arcs-boutants'
arcanum,arcana,arcanum's,arcana's
archduchy,archduchies,archduchy's,archduchies'
archegonium,archegonia,archegonium's,archegonia's
archenemy,archenemies,archenemy's,archenemies'
archerfish,archerfishes,archerfish's,archerfishes'
archespore,archespores,archespore's,archespores'
archesporium,archesporia,archesporium's,archesporia's
areola,areolae,areola's,areolae's
areola,areolas,areola's,areolas'
argal,argals,argal's,argals'
argali,araglis,argali's,araglis'
argali,argali,argali's,argali's
argumentum,argumenta,argumentum's,argumenta's
arietta,ariettas,arietta's,ariettas'
arietta,ariette,arietta's,ariette's
ariette,ariettes,ariette's,ariettes'
arista,aristae,arista's,aristae's
aristocracy,aristocracies,aristocracy's,aristocracies'
armadillo,armadillos,armadillo's,armadillos'
armamentarium,armamentariia,armamentarium's,armamentariia's
armamentarium,armamentariums,armamentarium's,armamentariums'
armful,armfuls,armful's,armfuls'
army,armies,army's,armies'
arpeggio,arpeggios,arpeggio's,arpeggios'
arris,arrises,arris's|arris',arrises'
arroyo,arroyos,arroyo's,arroyos'
arsis,arses,arsis's|arsis',arses'
arteriosclerosis,arterioscleroses,arteriosclerosis's|arteriosclerosis',arterioscleroses'
artilleryman,artillerymen,artilleryman's,artillerymen's
aruspex,aruspices,aruspex's,aruspices'
ascesis,asceses,ascesis's|ascesis',asceses'
ascidium,ascidcidia,ascidium's,ascidcidia's
ascogonium,ascogonia,ascogonium's,ascogonia's
ascus,asci,ascus's|ascus',asci's
ashkenazi,ashkenazim,ashkenazi's,ashkenazim's
aspergill,aspergills,aspergill's,aspergills'
aspergillosis,aspergilloses,aspergillosis's|aspergillosis',aspergilloses'
aspergillum,aspergilla,aspergillum's,aspergilla's
aspergillum,aspergillums,aspergillum's,aspergillums'
aspergillus,aspergilli,aspergillus's|aspergillus',aspergilli's
aspersorium,aspersoria,aspersorium's,aspersoria's
aspirin,aspirins,aspirin's,aspirins'
assagai,assagais,assagai's,assagais'
assagai,assegais,assagai's,assegais'
assegai,assegais,assegai's,assegais'
assembly,assemblies,assembly's,assemblies'
assemblyman,assemblymen,assemblyman's,assemblymen's
astragalus,astragali,astragalus's|astragalus',astragali's
asyndeton,asyndeta,asyndeton's,asyndeta's
ataman,atamans,ataman's,atamans'
atheroma,atheromas,atheroma's,atheromas'
atheroma,atheromata,atheroma's,atheromata's
