abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
cusk,cusks,cusk's,cusks'
custody,custodies,custody's,custodies'
custos,custodes,custos's|custos',custodes'
cuticula,cuticulae,cuticula's,cuticulae's
cutis,cutes,cutis's|cutis',cutes'
cutis,cutises,cutis's|cutis',cutises'
cuttlefish,cuttlefishes,cuttlefish's,cuttlefishes'
cyclops,cyclopes,cyclops's|cyclops',cyclopes'
cyclops,cyclopses,cyclops's|cyclops',cyclopses'
cyclosis,cycloses,cyclosis's|cyclosis',cycloses'
cylix,cylices,cylix's,cylices'
cylix,cylikes,cylix's,cylikes'
cyma,cymae,cyma's,cymae's
cyma,cymas,cyma's,cymas'
cymatium,cymatia,cymatium's,cymatia's
cymbalo,cymbalos,cymbalo's,cymbalos'
cypsela,cypselae,cypsela's,cypselae's
cystectomy,cystectomies,cystectomy's,cystectomies'
cysticercus,cysticerci,cysticercus's|cysticercus',cysticerci's
cystotomy,cystotomies,cystotomy's,cystotomies'
dace,daces,dace's,daces'
dactylology,dactylologies,dactylology's,dactylologies'
daddy,daddies,daddy's,daddies'
daily,dailies,daily's,dailies'
daimio,daymio,daimio's,daymio's
daimio,daymios,daimio's,daymios'
daimyo,daimyos,daimyo's,daimyos'
daiquiri,daiquiris,daiquiri's,daiquiris'
dairyman,dairymen,dairyman's,dairymen's
daisy,daisies,daisy's,daisies'
dalesman,dalesmen,dalesman's,dalesmen's
damara,damaras,damara's,damaras'
damselfish,damselfishes,damselfish's,damselfishes'
damselfly,damselflies,damselfly's,damselflies'
dandy,dandies,dandy's,dandies'
danio,danios,danio's,danios'
darkey,darkeys,darkey's,darkeys'
darky,darkies,darky's,darkies'
dato,datos,dato's,datos'
datum,data,datum's,data's
daughter-in-law,daughters-in-law,daughter-in-law's,daughters-in-law's
dayak,dayaks,dayak's,dayaks'
dayfly,dayflies,dayfly's,dayflies'
dealfish,dealfishes,dealfish's,dealfishes'
dearie,dearies,dearie's,dearies'
decemvir,decemviri,decemvir's,decemviri's
decemvir,decemvirs,decemvir's,decemvirs'
decency,decencies,decency's,decencies'
decennium,decennia,decennium's,decennia's
decennium,decenniums,decennium's,decenniums'
decidua,deciduae,decidua's,deciduae's
decidua,deciduas,decidua's,deciduas'
deer,deers,deer's,deers'
deficiency,deficiencies,deficiency's,deficiencies'
definiendum,definienda,definiendum's,definienda's
definiens,definientia,definiens's|definiens',definientia's
degeneracy,degeneracies,degeneracy's,degeneracies'
delaware,delawares,delaware's,delawares'
dele,deles,dele's,deles'
delegacy,delegacies,delegacy's,delegacies'
delicacy,delicacies,delicacy's,delicacies'
delinquency,delinquencies,delinquency's,delinquencies'
delphinium,delphiniia,delphinium's,delphiniia's
delphinium,delphiniums,delphinium's,delphiniums'
demagogy,demagogies,demagogy's,demagogies'
demo,demos,demo's,demos'
democracy,democracies,democracy's,democracies'
demy,demies,demy's,demies'
denarius,denarnarii,denarius's|denarius',denarnarii's
dentalium,dentalia,dentalium's,dentalia's
dentalium,dentaliums,dentalium's,dentaliums'
dependency,dependencies,dependency's,dependencies'
derby,derbies,derby's,derbies'
dermatosis,dermatotoses,dermatosis's|dermatosis',dermatotoses'
desideratum,desiderata,desideratum's,desiderata's
desman,desmans,desman's,desmans'
destiny,destinies,destiny's,destinies'
devilfish,devilfishes,devilfish's,devilfishes'
diabolo,diabolos,diabolo's,diabolos'
diaeresis,diaereses,diaeresis's|diaeresis',diaereses'
diaeresis,diaerses,diaeresis's|diaeresis',diaerses'
diagnosis,diagnoses,diagnosis's|diagnosis',diagnoses'
dialysis,dialyses,dialysis's|dialysis',dialyses'
dianthus,dianthuses,dianthus's|dianthus',dianthuses'
diaphysis,diaphyses,diaphysis's|diaphysis',diaphyses'
diapophysis,diapophyses,diapophysis's|diapophysis',diapophyses'
diarchy,diarchies,diarchy's,diarchies'
diarthrosis,diarthroses,diarthrosis's|diarthrosis',diarthroses'
diastalsis,diastalses,diastalsis's|diastalsis',diastalses'
diastasis,diastases,diastasis's|diastasis',diastases'
diastema,diastemata,diastema's,diastemata's
diathermancy,diathermancies,diathermancy's,diathermancies'
diathesis,diathses,diathesis's|diathesis',diathses'
dibbuk,dibbukkim,dibbuk's,dibbukkim's
dibbuk,dibbuks,dibbuk's,dibbuks'
dichasium,dichasia,dichasium's,dichasia's
dichotomy,dichotomies,dichotomy's,dichotomies'
dickey,dickeys,dickey's,dickeys'
dicky,dickies,dicky's,dickies'
dictum,dicta,dictum's,dicta's
dictum,dictums,dictum's,dictums'
didakai,didakais,didakai's,didakais'
dieresis,diereses,dieresis's|dieresis',diereses'
diesis,dieses,diesis's|diesis',dieses'
differentia,differentiae,differentia's,differentiae's
digamy,digamies,digamy's,digamies'
dildo,dildos,dildo's,dildos'
dildoe,dildoes,dildoe's,dildoes'
dilettante,dilettantes,dilettante's,dilettantes'
dilettante,dilettanti,dilettante's,dilettanti's
dilly,dillies,dilly's,dillies'
diluvium,diluvia,diluvium's,diluvia's
diminuendo,diminuendos,diminuendo's,diminuendos'
dingey,dingeys,dingey's,dingeys'
dinghy,dinghies,dinghy's,dinghies'
dingy,dingies,dingy's,dingies'
dinka,dinkas,dinka's,dinkas'
diplococcus,diplococci,diplococcus's|diplococcus',diplococci's
diplodocus,diplodocuses,diplodocus's|diplodocus',diplodocuses'
diplomacy,diplomacies,diplomacy's,diplomacies'
dipody,dipodies,dipody's,dipodies'
director-generic,directors-generic,director-generic's,directors-generic's
disco,discos,disco's,discos'
discobolos,discoboli,discobolos's|discobolos',discoboli's
discobolus,discoboli,discobolus's|discobolus',discoboli's
discourtesy,discourtesies,discourtesy's,discourtesies'
discrepancy,discrepancies,discrepancy's,discrepancies'
discus,disci,discus's|discus',disci's
discus,discuses,discus's|discus',discuses'
disharmony,disharmonies,disharmony's,disharmonies'
dittany,dittanies,dittany's,dittanies'
dittography,dittographies,dittography's,dittographies'
diva,divas,diva's,divas'
diva,dive,diva's,dive's
diverticulum,diverticula,diverticulum's,diverticula's
divertimento,divertimenti,divertimento's,divertimenti's
divi-divi,divi-divis,divi-divi's,divi-divis'
djinni,djinn,djinni's,djinn's
djinny,djinn,djinny's,djinn's
do,dos,do's,dos'
dobby,dobbies,dobby's,dobbies'
dobro,dobros,dobro's,dobros'
dobsonfly,dobsonflies,dobsonfly's,dobsonflies'
doe,does,doe's,does'
dogey,dogeys,dogey's,dogeys'
dogfish,dogfishes,dogfish's,dogfishes'
doggie,doggies,doggie's,doggies'
doggy,doggies,doggy's,doggies'
dogie,dogies,dogie's,dogies'
dogma,dogmas,dogma's,dogmas'
dogma,dogmata,dogma's,dogmata's
dogsbody,dogsbodies,dogsbody's,dogsbodies'
dogtooth,dogteeth,dogtooth's,dogteeth's
dogy,dogies,dogy's,dogies'
doh,dohs,doh's,dohs'
dojo,dojos,dojo's,dojos'
dollarfish,dollarfishes,dollarfish's,dollarfishes'
dolly,dollies,dolly's,dollies'
dolman,dolmans,dolman's,dolmans'
doorman,doormen,doorman's,doormen's
dormouse,dormice,dormouse's,dormice's
dorsum,dorsa,dorsum's,dorsa's
dowdy,dowdies,dowdy's,dowdies'
doxie,doxies,doxie's,doxies'
doxology,doxologies,doxology's,doxologies'
doxy,doxies,doxy's,doxies'
doyley,doyleys,doyley's,doyleys'
doyly,doylies,doyly's,doylies'
dozen,dozens,dozen's,dozens'
drachma,drachmae,drachma's,drachmae's
drachma,drachmas,drachma's,drachmas'
draftsman,draftsmen,draftsman's,draftsmen's
dragoman,dragomans,dragoman's,dragomans'
dragoman,dragomen,dragoman's,dragomen's
dragonfly,dragonflies,dragonfly's,dragonflies'
drain,drains,drain's,drains'
draughtsman,draughtsmen,draughtsman's,draughtsmen's
drawknife,drawknives,drawknife's,drawknives'
drawshave,drawshaves,drawshave's,drawshaves'
droit,droits,droit's,droits'
drongo,drongos,drongo's,drongos'
droshky,droshkies,droshky's,droshkies'
drosky,droskies,drosky's,droskies'
drosophila,drosophilae,drosophila's,drosophilae's
drosophila,drosophilas,drosophila's,drosophilas'
drumfish,drumfishes,drumfish's,drumfishes'
drunk_and_disorderly,drunk_and_disorderlies,drunk_and_disorderly's,drunk_and_disorderlies'
dryad,dryades,dryad's,dryades'
dryad,dryads,dryad's,dryads'
duala,dualas,duala's,dualas'
duchy,duchies,duchy's,duchies'
duello,duellos,duello's,duellos'
duiker,duikers,duiker's,duikers'
dummy,dummies,dummy's,dummies'
dunny,dunnies,dunny's,dunnies'
duo,dui,duo's,dui's
duo,duos,duo's,duos'
duodecimo,duodecimos,duodecimo's,duodecimos'
duodenum,duona,duodenum's,duona's
duodenum,duonas,duodenum's,duonas'
duomo,duomos,duomo's,duomos'
dupondius,dupondii,dupondius's|dupondius',dupondii's
duppy,duppies,duppy's,duppies'
duro,duros,duro's,duros'
dustman,dustmen,dustman's,dustmen's
dutchman,dutchmen,dutchman's,dutchmen's
duumvir,duumviri,duumvir's,duumviri's
duumvir,duumvirs,duumvir's,duumvirs'
dwarf,dwarfs,dwarf's,dwarfs'
dwarf,dwarves,dwarf's,dwarves'
dyak,dyaks,dyak's,dyaks'
dyarchy,diarchies,dyarchy's,diarchies'
dyarchy,dyarchies,dyarchy's,dyarchies'
dybbuk,dybbukkim,dybbuk's,dybbukkim's
dybbuk,dybbuks,dybbuk's,dybbuks'
dynamo,dynamos,dynamo's,dynamos'
dyula,dyulas,dyula's,dyulas'
dzo,dzos,dzo's,dzos'
ealdorman,ealdormen,ealdorman's,ealdormen's
earthman,earthmen,earthman's,earthmen's
easterly,easterlies,easterly's,easterlies'
ebony,ebonies,ebony's,ebonies'
ecchymosis,ecchymoses,ecchymosis's|ecchymosis',ecchymoses'
ecclesia,ecclesiae,ecclesia's,ecclesiae's
ecdysis,ecdyses,ecdysis's|ecdysis',ecdyses'
echidna,echidnae,echidna's,echidnae's
echidna,echidnas,echidna's,echidnas'
echinococcus,echinococci,echinococcus's|echinococcus',echinococci's
echinus,echini,echinus's|echinus',echini's
economy,economies,economy's,economies'
ecstasy,ecstasies,ecstasy's,ecstasies'
eddy,eddies,eddy's,eddies'
edema,edemata,edema's,edemata's
edema,oedemata,edema's,oedemata's
edo,edos,edo's,edos'
effendi,effendis,effendi's,effendis'
efficiency,efficiencies,efficiency's,efficiencies'
effigy,effigies,effigy's,effigies'
effluvium,effluvia,effluvium's,effluvia's
effluvium,effluviums,effluvium's,effluviums'
efik,efiks,efik's,efiks'
ego,egos,ego's,egos'
eidolon,eidola,eidolon's,eidola's
eidolon,eidolons,eidolon's,eidolons'
eigenfrequency,eicies,eigenfrequency's,eicies'
eighteenmo,eighteenmos,eighteenmo's,eighteenmos'
eightvo,eightvos,eightvo's,eightvos'
eisegesis,eisegeses,eisegesis's|eisegesis',eisegeses'
eisteddfod,eisteddfodau,eisteddfod's,eisteddfodau's
eisteddfod,eisteddfods,eisteddfod's,eisteddfods'
electro,electros,electro's,electros'
elegance,elegances,elegance's,elegances'
elegancy,elegancies,elegancy's,elegancies'
elegy,elegies,elegy's,elegies'
elemi,elemis,elemi's,elemis'
elenchus,elenchi,elenchus's|elenchus',elenchi's
elephant,elephants,elephant's,elephants'
elf,elves,elf's,elves'
elk,elks,elk's,elks'
ellipsis,ellipses,ellipsis's|ellipsis',ellipses'
eluvium,eluvia,eluvium's,eluvia's
elytron,elytra,elytron's,elytra's
elytrum,elytra,elytrum's,elytra's
embassy,embassies,embassy's,embassies'
embolectomy,embolectomies,embolectomy's,embolectomies'
embolus,emboli,embolus's|embolus',emboli's
emboly,embolies,emboly's,embolies'
embrectomy,embrectomies,embrectomy's,embrectomies'
embryectomy,embryectomies,embryectomy's,embryectomies'
embryo,embryos,embryo's,embryos'
embusque,embusques,embusque's,embusques'
emergency,emergencies,emergency's,emergencies'
eminence,eminences,eminence's,eminences'
eminency,eminencies,eminency's,eminencies'
emmy,emmies,emmy's,emmies'
emmy,emmys,emmy's,emmys'
emphasis,emphases,emphasis's|emphasis',emphases'
emporium,emporia,emporium's,emporia's
emporium,emporiums,emporium's,emporiums'
enarthrosis,enarthroses,enarthrosis's|enarthrosis',enarthroses'
encephaloma,encephalomas,encephaloma's,encephalomas'
encephaloma,encephalomata,encephaloma's,encephalomata's
encephalon,encephala,encephalon's,encephala's
enchiridion,enchiridia,enchiridion's,enchiridia's
enchiridion,enchiridions,enchiridion's,enchiridions'
enchondroma,enchondromas,enchondroma's,enchondromas'
enchondroma,enchondromata,enchondroma's,enchondromata's
encomium,encomia,encomium's,encomia's
encomium,encomiums,encomium's,encomiums'
endameba,endamebae,endameba's,endamebae's
endameba,endamebas,endameba's,endamebas'
endamoeba,endamoebae,endamoeba's,endamoebae's
endamoeba,endamoebas,endamoeba's,endamoebas'
endocardium,endocardia,endocardium's,endocardia's
endocranium,endocrania,endocranium's,endocrania's
endometrium,endometria,endometrium's,endometria's
endosteum,endostea,endosteum's,endostea's
endostosis,endostoses,endostosis's|endostosis',endostoses'
endothecium,endothecicia,endothecium's,endothecicia's
endothelioma,endotheliomata,endothelioma's,endotheliomata's
endothelium,endothelia,endothelium's,endothelia's
enema,enemas,enema's,enemas'
enema,enemata,enema's,enemata's
enemy,enemies,enemy's,enemies'
energy,energies,energy's,energies'
englishman,englishmen,englishman's,englishmen's
englishwoman,englishwomen,englishwoman's,englishwomen's
enneahedron,enneahedra,enneahedron's,enneahedra's
enneahedron,enneahedrons,enneahedron's,enneahedrons'
ens,entia,ens's|ens',entia's
entameba,entamebae,entameba's,entamebae's
entameba,entamebas,entameba's,entamebas'
entamoeba,entamoebae,entamoeba's,entamoebae's
entamoeba,entamoebas,entamoeba's,entamoebas'
entasis,entases,entasis's|entasis',entases'
entelechy,entelechies,entelechy's,entelechies'
enteron,entera,enteron's,entera's
enterostomy,enterostomies,enterostomy's,enterostomies'
enterotomy,enterotomies,enterotomy's,enterotomies'
enterovirus,enteroviruses,enterovirus's|enterovirus',enteroviruses'
entozoan,entozoa,entozoan's,entozoa's
entozoon,entozoa,entozoon's,entozoa's
entropy,entropies,entropy's,entropies'
envy,envies,envy's,envies'
eohippus,eohippuses,eohippus's|eohippus',eohippuses'
eparchate,eparchates,eparchate's,eparchates'
eparchy,eparchies,eparchy's,eparchies'
epencephalon,epencephala,epencephalon's,epencephala's
epenthesis,epentheses,epenthesis's|epenthesis',epentheses'
epexegesis,epexegeses,epexegesis's|epexegesis',epexegeses'
ephemera,ephemerae,ephemera's,ephemerae's
ephemera,ephemeras,ephemera's,ephemeras'
ephemeris,ephemerides,ephemeris's|ephemeris',ephemerides'
ephemeron,ephemerera,ephemeron's,ephemerera's
ephemeron,ephemererons,ephemeron's,ephemererons'
ephor,ephori,ephor's,ephori's
epiboly,epibolies,epiboly's,epibolies'
epicalyx,epicalyces,epicalyx's,epicalyces'
epicalyx,epicalyxes,epicalyx's,epicalyxes'
epicanthus,epicanthi,epicanthus's|epicanthus',epicanthi's
epicardium,epicardia,epicardium's,epicardia's
epicedium,epicedidia,epicedium's,epicedidia's
epicenter,epicenters,epicenter's,epicenters'
epicentre,epicentres,epicentre's,epicentres'
epiclesis,epicleses,epiclesis's|epiclesis',epicleses'
epididymis,epididymides,epididymis's|epididymis',epididymides'
epigastrium,epigastria,epigastrium's,epigastria's
epiglottis,epiglottides,epiglottis's|epiglottis',epiglottides'
epiglottis,epiglottises,epiglottis's|epiglottis',epiglottises'
epimysium,epimysia,epimysium's,epimysia's
epiphany,epiphanies,epiphany's,epiphanies'
epiphenomenon,epiphenomena,epiphenomenon's,epiphenomena's
epiphysis,epiphyses,epiphysis's|epiphysis',epiphyses'
episcopacy,episcopacies,episcopacy's,episcopacies'
episiotomy,episiotomies,episiotomy's,episiotomies'
episternum,episterna,episternum's,episterna's
epithalamion,epithalamia,epithalamion's,epithalamia's
epithalamium,epithalamia,epithalamium's,epithalamia's
epithelioma,epitheliomas,epithelioma's,epitheliomas'
epithelioma,epitheliomata,epithelioma's,epitheliomata's
epithelium,epithelia,epithelium's,epithelia's
epithelium,epitheliums,epithelium's,epitheliums'
epizoon,epizoa,epizoon's,epizoa's
epoxy,epoxies,epoxy's,epoxies'
epyllion,epyllilia,epyllion's,epyllilia's
equilibrium,equilibria,equilibrium's,equilibria's
equilibrium,equilibriums,equilibrium's,equilibriums'
equisetum,equiseta,equisetum's,equiseta's
equisetum,equisetums,equisetum's,equisetums'
erg,ergs,erg's,ergs'
ergatocracy,ergatocracies,ergatocracy's,ergatocracies'
erie,eries,erie's,eries'
ermine,ermines,ermine's,ermines'
errancy,errancies,errancy's,errancies'
erratum,errata,erratum's,errata's
escolar,escolars,escolar's,escolars'
escudo,escudos,escudo's,escudos'
eskimo,eskimos,eskimo's,eskimos'
esky,eskies,esky's,eskies'
esophagus,esophagi,esophagus's|esophagus',esophagi's
esophagus,esophaguses,esophagus's|esophagus',esophaguses'
esophagus,oesophagi,esophagus's|esophagus',oesophagi's
esparto,espartos,esparto's,espartos'
espresso,espressos,espresso's,espressos'
esquimau,esquimaus,esquimau's,esquimaus'
etiology,etiologies,etiology's,etiologies'
etui,etuis,etui's,etuis'
etymology,etymologies,etymology's,etymologies'
etymon,etyma,etymon's,etyma's
etymon,etymons,etymon's,etymons'
eucalypt,eucalypts,eucalypt's,eucalypts'
eucalyptus,eucalypti,eucalyptus's|eucalyptus',eucalypti's
eucalyptus,eucalyptuses,eucalyptus's|eucalyptus',eucalyptuses'
eulachan,eulachans,eulachan's,eulachans'
eulachon,eulachons,eulachon's,eulachons'
eulogy,eulogies,eulogy's,eulogies'
eupatrid,eupatridae,eupatrid's,eupatridae's
eupatrid,eupatrids,eupatrid's,eupatrids'
euphony,euphonies,euphony's,euphonies'
euphrasy,euphrasies,euphrasy's,euphrasies'
euripus,euripi,euripus's|euripus',euripi's
ewe,ewes,ewe's,ewes'
ex-serviceman,ex-servicemen,ex-serviceman's,ex-servicemen's
exanthem,exanthems,exanthem's,exanthems'
exanthema,exanthemas,exanthema's,exanthemas'
exanthema,exanthemata,exanthema's,exanthemata's
exarchate,exarchates,exarchate's,exarchates'
exarchy,exarchies,exarchy's,exarchies'
excellence,excellences,excellence's,excellences'
excellency,excellencies,excellency's,excellencies'
exciseman,excisemen,exciseman's,excisemen's
excrescency,excrescencies,excrescency's,excrescencies'
excursus,excursuses,excursus's|excursus',excursuses'
executrix,executrices,executrix's,executrices'
executrix,executrixes,executrix's,executrixes'
exegesis,exegeses,exegesis's|exegesis',exegeses'
exemplum,exempla,exemplum's,exempla's
exigence,exigences,exigence's,exigences'
exigency,exigencies,exigency's,exigencies'
exordium,exordia,exordium's,exordia's
exordium,exordiums,exordium's,exordiums'
exostosis,exostoses,exostosis's|exostosis',exostoses'
expedience,expediences,expedience's,expediences'
expediency,expediencies,expediency's,expediencies'
expo,expos,expo's,expos'
extrados,extradoses,extrados's|extrados',extradoses'
extremum,extrema,extremum's,extrema's
eyetooth,eyeteeth,eyetooth's,eyeteeth's
eyrir,aurar,eyrir's,aurar's
fabliau,fabliaux,fabliau's,fabliaux's
facia,faciae,facia's,faciae's
facula,faculae,facula's,faculae's
faerie,faeries,faerie's,faeries'
faeroese,faeroese,faeroese's,faeroese's
fallacy,fallacies,fallacy's,fallacies'
fallfish,fallfishes,fallfish's,fallfishes'
falsetto,falsettos,falsetto's,falsettos'
family,families,family's,families'
famulus,famuli,famulus's|famulus',famuli's
fancy,fancies,fancy's,fancies'
fandango,fandangos,fandango's,fandangos'
fang,fangs,fang's,fangs'
fanny,fannies,fanny's,fannies'
fantasy,fantasies,fantasy's,fantasies'
fanti,fantis,fanti's,fantis'
farcy,farcies,farcy's,farcies'
farmer-generic,farmers-generic,farmer-generic's,farmers-generic's
faroese,faroese,faroese's,faroese's
fascia,fasciae,fascia's,fasciae's
fasciculus,fasciculi,fasciculus's|fasciculus',fasciculi's
father-in-law,fathers-in-law,father-in-law's,fathers-in-law's
fauna,faunae,fauna's,faunae's
fauna,faunas,fauna's,faunas'
fecula,feculae,fecula's,feculae's
fedayee,fedayeen,fedayee's,fedayeen's
fellah,fellaheen,fellah's,fellaheen's
fellah,fellahin,fellah's,fellahin's
fellah,fellahs,fellah's,fellahs'
felloe,felloes,felloe's,felloes'
felly,fellies,felly's,fellies'
felo_de_se,felones_de_se,felo_de_se's,felones_de_se's
felo_de_se,felos_de_se,felo_de_se's,felos_de_se's
felony,felonies,felony's,felonies'
femur,femora,femur's,femora's
femur,femurs,femur's,femurs'
fenestella,fenestellae,fenestella's,fenestellae's
fenestra,fenestrae,fenestra's,fenestrae's
feria,feriae,feria's,feriae's
feria,ferias,feria's,ferias'
fermata,fermatas,fermata's,fermatas'
fermata,fermate,fermata's,fermate's
ferula,ferulae,ferula's,ferulae's
ferula,ferulas,ferula's,ferulas'
fervency,fervencies,fervency's,fervencies'
festschrift,festschriften,festschrift's,festschriften's
festschrift,festschrifts,festschrift's,festschrifts'
fetial,fetiales,fetial's,fetiales'
fez,fezzes,fez's,fezzes'
fibril,fibrils,fibril's,fibrils'
fibrilla,fibrillae,fibrilla's,fibrillae's
fibroma,fibromas,fibroma's,fibromas'
fibroma,fibromata,fibroma's,fibromata's
fibula,fibulae,fibula's,fibulae's
fibula,fibulas,fibula's,fibulas'
fideicommissum,fideicommissa,fideicommissum's,fideicommissa's
fieldmouse,fieldmice,fieldmouse's,fieldmice's
fieldsman,fieldsmen,fieldsman's,fieldsmen's
fig.,figs.,fig.'s,figs.'s
fil,fils,fil's,fils'
filaria,filariiae,filaria's,filariiae's
filefish,filefishes,filefish's,filefishes'
filipino,filipinos,filipino's,filipinos'
filly,fillies,filly's,fillies'
filum,fila,filum's,fila's
fimbria,fimbriae,fimbria's,fimbriae's
finfoot,finfoots,finfoot's,finfoots'
fingo,fingos,fingo's,fingos'
firefly,fireflies,firefly's,fireflies'
fireman,firemen,fireman's,firemen's
fish,fishes,fish's,fishes'
fisherman,fishermen,fisherman's,fishermen's
fishfly,fishflies,fishfly's,fishflies'
fishwife,fishwives,fishwife's,fishwives'
fistula,fistulae,fistula's,fistulae's
fistula,fistulas,fistula's,fistulas'
flabellum,flabella,flabellum's,flabella's
flagellum,flagella,flagellum's,flagella's
flagellum,flagellums,flagellum's,flagellums'
flagman,flagmen,flagman's,flagmen's
flagpole,flagpoles,flagpole's,flagpoles'
flagstaff,flagstaffs,flagstaff's,flagstaffs'
flagstaff,flagstaves,flagstaff's,flagstaves'
flambeau,flambeaus,flambeau's,flambeaus'
flambeau,flambeaux,flambeau's,flambeaux's
flamen,flamens,flamen's,flamens'
flamen,flamines,flamen's,flamines'
flamenco,flamencos,flamenco's,flamencos'
flatfish,flatfishes,flatfish's,flatfishes'
flatfoot,flatfeet,flatfoot's,flatfeet's
flatfoot,flatfoots,flatfoot's,flatfoots'
flathead,flatheads,flathead's,flatheads'
flatus,flatuses,flatus's|flatus',flatuses'
fleur-de-lis,fleurs-de-lis,fleur-de-lis's|fleur-de-lis',fleurs-de-lis'
fleur-de-lys,fleurs-de-lys,fleur-de-lys's|fleur-de-lys',fleurs-de-lys'
flight_of_stairs,flights_of_stairs,flight_of_stairs's|flight_of_stairs',flights_of_stairs'
flittermouse,flittermice,flittermouse's,flittermice's
flocculus,flocculi,flocculus's|flocculus',flocculi's
floccus,flocci,floccus's|floccus',flocci's
floosie,floosies,floosie's,floosies'
floozie,floozies,floozie's,floozies'
flora,florae,flora's,florae's
flora,floras,flora's,floras'
floreat,floreant.,floreat's,floreant.'s
florilegium,florilegia,florilegium's,florilegia's
flounder,flounders,flounder's,flounders'
flower-de-luce,flowers-de-luce,flower-de-luce's,flowers-de-luce's
flunkey,flunkeys,flunkey's,flunkeys'
flunky,flunkies,flunky's,flunkies'
fly,flies,fly's,flies'
flyby,flybys,flyby's,flybys'
flyleaf,flyleaves,flyleaf's,flyleaves'
focus,foci,focus's|focus',foci's
focus,focuses,focus's|focus',focuses'
foeman,foemen,foeman's,foemen's
foetus,foetuses,foetus's|foetus',foetuses'
fogey,fogeys,fogey's,fogeys'
fogy,fogies,fogy's,fogies'
foilsman,foilsmen,foilsman's,foilsmen's
folio,folios,folio's,folios'
folium,folia,folium's,folia's
folk,folks,folk's,folks'
folly,follies,folly's,follies'
foot,feet,foot's,feet's
footman,footmen,footman's,footmen's
foramen,foramens,foramen's,foramens'
foramen,foramina,foramen's,foramina's
forceps,forceps,forceps's|forceps',forceps'
forefoot,forefeet,forefoot's,forefeet's
foreman,foremen,foreman's,foremen's
foretooth,foreteeth,foretooth's,foreteeth's
formicarium,formicaria,formicarium's,formicaria's
formula,formulae,formula's,formulae's
formula,formulas,formula's,formulas'
fornix,fornices,fornix's,fornices'
fortis,fortes,fortis's|fortis',fortes'
fortnightly,fortnightlies,fortnightly's,fortnightlies'
forum,fora,forum's,fora's
forum,forums,forum's,forums'
fossa,fossae,fossa's,fossae's
fovea,foveae,fovea's,foveae's
foveola,foveolae,foveola's,foveolae's
fox,foxes,fox's,foxes'
fractocumulus,fractocumuli,fractocumulus's|fractocumulus',fractocumuli's
fractostratus,fractostrati,fractostratus's|fractostratus',fractostrati's
fraenum,fraena,fraenum's,fraena's
fragrance,fragrances,fragrance's,fragrances'
fragrancy,fragrancies,fragrancy's,fragrancies'
frangipani,frangipanis,frangipani's,frangipanis'
frau,frauen,frau's,frauen's
frau,fraus,frau's,fraus'
fraulein,frauleins,fraulein's,frauleins'
freedman,freedmen,freedman's,freedmen's
freeman,freemen,freeman's,freemen's
frenchman,frenchmen,frenchman's,frenchmen's
frenchy,frenchies,frenchy's,frenchies'
frenulum,frenula,frenulum's,frenula's
frenum,frena,frenum's,frena's
frenzy,frenzies,frenzy's,frenzies'
frequency,frequencies,frequency's,frequencies'
fresher,freshers,fresher's,freshers'
freshman,freshmen,freshman's,freshmen's
fricandeau,fricandeaus,fricandeau's,fricandeaus'
fricandeau,fricandeaux,fricandeau's,fricandeaux's
friendly,friendlies,friendly's,friendlies'
frijol,frijoles,frijol's,frijoles'
frog,frogs,frog's,frogs'
frogfish,frogfishes,frogfish's,frogfishes'
froggy,froggies,froggy's,froggies'
frogman,frogmen,frogman's,frogmen's
frons,frontes,frons's|frons',frontes'
frontiersman,frontiersmen,frontiersman's,frontiersmen's
frustum,frusta,frustum's,frusta's
frustum,frustums,frustum's,frustums'
fucus,fuci,fucus's|fucus',fuci's
fucus,fucuses,fucus's|fucus',fucuses'
fuddy-duddy,fuddy-duddies,fuddy-duddy's,fuddy-duddies'
fugio,fugios,fugio's,fugios'
fugleman,fuglemen,fugleman's,fuglemen's
fula,fulas,fula's,fulas'
fulcrum,fulcra,fulcrum's,fulcra's
fulcrum,fulcrums,fulcrum's,fulcrums'
fumatorium,fumatoria,fumatorium's,fumatoria's
fumatorium,fumatoriums,fumatorium's,fumatoriums'
fundus,fundi,fundus's|fundus',fundi's
fungus,fungi,fungus's|fungus',fungi's
fungus,funguses,fungus's|fungus',funguses'
funiculus,funiculi,funiculus's|funiculus',funiculi's
funny,funnies,funny's,funnies'
furcula,furculae,furcula's,furculae's
furculum,furcula,furculum's,furcula's
furfur,furfures,furfur's,furfures'
fuzzy-wuzzy,fuzzy-wuzzies,fuzzy-wuzzy's,fuzzy-wuzzies'
g-man,g-men,g-man's,g-men's
gabbro,gabbros,gabbro's,gabbros'
gaby,gabies,gaby's,gabies'
gadfly,gadflies,gadfly's,gadflies'
gadwall,gadwalls,gadwall's,gadwalls'
galago,galagos,galago's,galagos'
galaxy,galaxies,galaxy's,galaxies'
galea,galeae,galea's,galeae's
galibi,galibis,galibi's,galibis'
galla,gallas,galla's,gallas'
gallfly,gallflies,gallfly's,gallflies'
gallows,gallowses,gallows's|gallows',gallowses'
galvo,galvos,galvo's,galvos'
gambade,gambades,gambade's,gambades'
gametangium,gametangia,gametangium's,gametangia's
gammadion,gammadidia,gammadion's,gammadidia's
ganda,gandas,ganda's,gandas'
